company,stock_code,name,product,market_date,month,ceo,homepage,region,company_eng
BYC,1460,봉제의복제조업,"메리야스,란제리제조,도매/건축공사/부동산임대,분양,공급",1975-06-02,12월,유중화,http://www.byc.co.kr,서울특별시,BYC
씨제이씨지브이,79160,"영화,비디오물,방송프로그램제작및배급업","영화상영,영화관운영",2004-12-24,12월,서정,http://www.cgv.co.kr,서울특별시,CJCGV
DB손해보험,5830,보험업,"자동차보험,화재보험,해상보험,특종보험,장기보험",1973-06-28,12월,김정남,http://www.idbins.com,서울특별시,DB손해보험
DGB금융지주,139130,기타금융업,지주회사,2011-06-07,12월,김태오,http://www.dgbfg.co.kr,대구광역시,DGB금융지주
DSR제강,69730,1차철강제조업,"와이어로프,각종경강선,철선제품,PC강선,아연도강연선제조",2003-01-28,12월,홍하종,http://www.dsrcorp.com,전라남도,DSR제강
KB금융지주,105560,기타금융업,-,2008-10-10,12월,윤종규,http://www.kbfg.com,서울특별시,KB금융
케이씨그린홀딩스,9440,기타금융업,"환경방지오염시설(전기집진기,배연탈황설비,여과집진기,세정식집진기),제어장치제조,설치",1994-11-05,12월,이태영,http://www.kcgreenholdings.com,서울특별시,KC그린홀딩스
KISCO홀딩스,1940,기타금융업,지주사업,1989-11-13,12월,"장세홍,이병제(각자대표)",http://www.kiscoholdings.co.kr,경상남도,KISCO홀딩스
LG,3550,기타금융업,지주회사,1970-02-13,12월,"구광모,하현회",http://www.lg.co.kr,서울특별시,LG
엘에스전선아시아,229640,기타금융업,,2016-09-22,12월,신용현,http://www.lscnsasia.co.kr,경기도,LS전선아시아
MH에탄올,23150,알코올음료제조업,"주정,탄산가스제조",1996-12-24,12월,윤현의,http://www.mhethanol.com,경상남도,MH에탄올
NICE,34310,회사본부및경영컨설팅서비스업,"기업신용분석,유가증권등급평정,기업정보,긍융정보,경제정보,소비자신용정보제공,시장조사,사회여론조사,점외CD/ATM사업",2004-02-04,12월,최영,http://www.nice.co.kr,서울특별시,NICE
S&T모티브,64960,자동차신품부품제조업,"자동차부품(서스펜션모듈,전장품,속옵서버,에어백,트로틀바디,너클),방산품(총포)제조,도매",2002-03-11,12월,유기준,http://www.sntdaewoo.com,부산광역시,S&T모티브
S&T홀딩스,36530,기타금융업,"지배,경영지도,정리,육성",2002-10-22,12월,김도환,http://www.hisntholdings.com,서울특별시,S&T홀딩스
SK텔레콤,17670,전기통신업,"이동전화,무선호출서비스,부가통신",1989-11-07,12월,박정호,http://www.sktelecom.com,서울특별시,SK텔레콤
STX중공업,71970,일반목적용기계제조업,"조선기자재,기계부품,엔진산업환경발전설비,플랜트(EPC)",2009-05-15,12월,정태화,http://www.stxhi.co.kr,경상남도,STX중공업
계양전기,12200,일반목적용기계제조업,"전동공구(그라인더,드릴,커팅머신),자동차용D.C모터,엔진제조",1988-07-06,12월,"단재완,정한수",http://www.keyang.co.kr,서울특별시,계양전기
골든브릿지투자증권,1290,금융지원서비스업,유가증권매매,1988-09-23,12월,박정하,http://www.bridgefn.com,서울특별시,골든브릿지증권
중소기업은행,24110,은행및저축기관,은행업,2003-12-24,12월,"Kim,Do-jin",http://www.kiupbank.co.kr,서울특별시,기업은행
깨끗한나라,4540,"펄프,종이및판지제조업","펄프,판지원지,화장지제조,수출입",1975-06-25,12월,최병민,http://www.kleannara.com,서울특별시,깨끗한나라
남광토건,1260,토목건설업,"토목공사,건축공사,기전공사,측량설계시공,용역/철구조물제조",1976-12-28,12월,김종오,http://www.namkwang.co.kr,경기도,남광토건
남해화학,25860,"비료,농약및살균,살충제제조업","비료(요소,복합비료),공업제품원료제조,도매",1995-11-10,12월,이광록,http://www.nhchem.co.kr,서울특별시,남해화학
다스코,58730,"구조용금속제품,탱크및증기발생기제조업","데크플레이트,도로안전시설물(가드레일,강재방호책),건축용단열재보드(경질우레탄보드),신재생에너지사업",2004-08-02,12월,한상원,http://www.dasco.kr,전라남도,다스코
대구백화점,6370,종합소매업,"백화점운영,임대사업(백화점코너)",1988-10-10,12월,구정모,http://www.debec.co.kr,대구광역시,대구백화점
대신증권,3540,금융지원서비스업,"유가증권위탁매매,인수주선,자기매매기타금융서비스",1975-10-01,12월,나재철,http://www.daishin.com,서울특별시,대신증권
