name,company,stock_code,product,market_date,month,ceo,homepage,region,company_eng,code,codename
1차비철금속제조업,조일알미늄,18470,"알루미늄판제조,도매",1988-11-22,12월,이영호,http://www.choilal.co.kr,경상북도,조일알미늄,C,제조업
1차비철금속제조업,대창,12800,"황동봉,동합금괴제조,판매",1989-12-05,12월,"조시영,김옥렬",http://www.brassone.com,경기도,대창,C,제조업
1차비철금속제조업,삼보산업,9620,알미늄괴,1993-12-07,12월,"최찬규,이태용(각자대표)",http://www.samboind.com,경상남도,삼보산업,C,제조업
1차비철금속제조업,갑을메탈,24840,모터코어,1994-12-29,12월,박한상,http://www.kscl.co.kr,대구광역시,갑을메탈,C,제조업
1차비철금속제조업,알루코,1780,"알루미늄제품,샷시제조",2007-06-07,12월,박석봉,http://www.dygc.co.kr,대전광역시,알루코,C,제조업
1차비철금속제조업,황금에스티,32560,"스테인레스냉연,열연",2009-10-29,12월,김종현,http://www.hwangkum.com,경기도,황금에스티,C,제조업
1차비철금속제조업,국일신동,60480,황동봉,2014-12-29,12월,"김연경,손인국(각자대표)",http://www.kukilmetal.com,경기도,국일신동,C,제조업
1차비철금속제조업,풍산,103140,,2008-07-30,12월,"류진,박우동",http://www.poongsan.co.kr,경기도,풍산,C,제조업
1차비철금속제조업,DSR,155660,합섬섬유로프,2013-05-15,12월,홍석빈,http://www.dsr.com,부산광역시,DSR,C,제조업
1차비철금속제조업,세종머티리얼즈,135270,"비철금속,PCB제조등",2014-12-17,12월,성재복,http://www.sejongmaterials.co.kr,경기도,세종머티리얼즈,C,제조업
1차비철금속제조업,대호에이엘,69460,"알루미늄환절판제조,도매,무역",2002-11-11,12월,노영호,http://www.daeho-al.com,대구광역시,대호에이엘,C,제조업
1차비철금속제조업,이구산업,25820,"동판.조,황동판.조,인청동판.조제조,임가공/부동산임대",1995-08-18,12월,"손인국,김영길(각자대표이사)",http://www.leeku.net,경기도,이구산업,C,제조업
1차비철금속제조업,남선알미늄,8350,알미늄샷시제조/환경사업,1978-05-22,12월,"이상일,박기재",http://www.namsun.co.kr,대구광역시,남선알미늄,C,제조업
1차비철금속제조업,고려아연,10130,"연,아연괴제조,판매",1990-07-28,12월,"최창근,이제중",http://www.koreazinc.co.kr,서울특별시,고려아연,C,제조업
1차비철금속제조업,그린플러스,186230,"알루미늄압출및가공제품,첨단유리온실,식물재배시스템",2013-12-20,12월,박영환,http://www.greenplus.co.kr,충청남도,그린플러스,C,제조업
1차비철금속제조업,영풍,670,"제1차금속산업(아연괴,황산,카드뮴괴),건전지제조,무역",1976-06-12,12월,"이강인,박영민",http://www.ypzinc.co.kr,서울특별시,영풍,C,제조업
1차비철금속제조업,피제이메탈,128660,"탈산제,조재제",2010-12-13,12월,원경연,,서울특별시,피제이메탈,C,제조업
1차비철금속제조업,삼아알미늄,6110,"알루미늄박지,은박지,은박가공품,알페이스트제조,도매,수출",1980-12-05,12월,"한남희,하상용",http://www.sama-al.com,경기도,삼아알미늄,C,제조업
1차비철금속제조업,한창산업,79170,"아연말,리튬브로마이드,산화망간,인산아연",2005-02-01,12월,"강호익,강상균(각자대표)",http://www.hanchem.com,경기도,한창산업,C,제조업
1차철강제조업,고려제강,2240,"PC강선,선재2차제품,와이어로프,비드와이어,SC(SurpassCoat)Stand,각종선재제조,도매",1976-05-25,12월,"이이문,박창희(각자대표)",http://www.kiswire.com,부산광역시,고려제강,C,제조업
1차철강제조업,세아특수강,19440,"냉간압조용선재,마봉강,스테인레스봉강제조",2011-06-01,12월,유을봉,http://www.seahsp.co.kr,경상북도,세아특수강,C,제조업
1차철강제조업,금강철강,53260,"냉연압연강판,산세코일",2002-01-04,12월,"주광남,주성호(각자대표)",http://www.kksteel.co.kr,서울특별시,금강철강,C,제조업
