stock_code,company_eng,codename
18470,조일알미늄,제조업
12800,대창,제조업
9620,삼보산업,제조업
24840,갑을메탈,제조업
1780,알루코,제조업
32560,황금에스티,제조업
60480,국일신동,제조업
103140,풍산,제조업
155660,DSR,제조업
135270,세종머티리얼즈,제조업
69460,대호에이엘,제조업
25820,이구산업,제조업
8350,남선알미늄,제조업
10130,고려아연,제조업
186230,그린플러스,제조업
670,영풍,제조업
128660,피제이메탈,제조업
6110,삼아알미늄,제조업
79170,한창산업,제조업
2240,고려제강,제조업
19440,세아특수강,제조업
53260,금강철강,제조업
21040,대호피앤씨,제조업
2690,동일제강,제조업
84010,대한제강,제조업
4890,동일산업,제조업
26910,광진실업,제조업
8420,문배철강,제조업
1230,동국제강,제조업
100090,삼강엠앤티,제조업
65620,제낙스,제조업
2710,TCC동양,제조업
5490,포스코,제조업
8970,동양철관,제조업
71090,하이스틸,제조업
2220,한일철강,제조업
14280,금강공업,제조업
970,한국주철관공업,제조업
16380,동부제철,제조업
9730,코센,제조업
17480,삼현철강,제조업
39240,경남스틸,제조업
263770,유에스티,제조업
13030,하이록코리아,제조업
133820,화인베스틸,제조업
4020,현대제철,제조업
3030,세아제강,제조업
5010,휴스틸,제조업
23160,태광,제조업
4560,현대비앤지스틸,제조업
1080,만호제강,제조업
26940,부국철강,제조업
12620,원일특강,제조업
1770,신화실업,제조업
48470,대동스틸,제조업
104700,한국철강,제조업
24090,디씨엠,제조업
58430,포스코강판,제조업
23790,동일철강,제조업
9520,포스코엠텍,제조업
140520,대창스틸,제조업
8260,NI스틸,제조업
90730,SIMPACMetal,제조업
69730,DSR제강,제조업
23440,제일제강,제조업
9190,대양금속,제조업
114920,대주이엔티,제조업
25550,한국선재,제조업
12160,영흥철강,제조업
14620,성광벤드,제조업
7280,한국특수형강,제조업
1430,세아베스틸,제조업
5160,동국산업,제조업
37760,쎄니트,제조업
60380,동양에스텍,제조업
79430,현대리바트,제조업
71950,코아스,제조업
134790,시디즈,제조업
11090,에넥스,제조업
16800,퍼시스,제조업
73190,듀오백,제조업
3800,에이스침대,제조업
71840,롯데하이마트,도매 및 소매업
234920,자이글,제조업
225650,쿠첸,제조업
44340,위닉스,제조업
9450,경동나비엔,제조업
192400,쿠쿠홀딩스,제조업
65350,신성델타테크,제조업
37070,파세코,제조업
270660,에브리봇,제조업
66130,하츠,제조업
42110,에스씨디,제조업
71460,대유위니아,제조업
11330,유니켐,제조업
2170,삼양통상,제조업
194370,제이에스코퍼레이션,제조업
221670,주노콜렉션,제조업
4700,조광피혁,제조업
284740,쿠쿠홈시스,"사업시설 관리, 사업 지원 및 임대 서비스업"
13120,동원개발,건설업
11160,두산건설,건설업
4960,한신공영,건설업
76080,웰크론한텍,건설업
47040,대우건설,건설업
6360,GS건설,건설업
34300,신세계건설,건설업
5450,신한,건설업
2410,범양건영,건설업
91590,남화토건,건설업
7680,대원,건설업
11370,서한,건설업
12630,HDC,건설업
2460,화성산업,건설업
35890,서희건설,건설업
2990,금호산업,건설업
17000,신원종합개발,건설업
1880,삼호,건설업
294870,HDC현대산업개발,건설업
21320,KCC건설,건설업
2290,삼일기업공사,건설업
16250,이테크건설,건설업
44180,KD건설,건설업
13700,까뮤이앤씨,건설업
1840,이화공영,건설업
11560,세보엠이씨,건설업
130660,한전산업,"전문, 과학 및 기술 서비스업"
28050,삼성엔지니어링,"전문, 과학 및 기술 서비스업"
45100,한양이엔지,"전문, 과학 및 기술 서비스업"
67630,에이치엘비생명과학,"전문, 과학 및 기술 서비스업"
163430,디피코,"전문, 과학 및 기술 서비스업"
