"stock_code","cb_all","label_all","category","title1","date","news","urls","number","stand","news_num","업종.x","year","매출액","자산총계","영업이익률","부채비율","EPS","buildingyear","Psell","amount","low","recovery","recovery_day","low_day","Pratio","low_day2","recovery_day2"
30,"우리은행",14832,"외국인순매도","우리은행, 외국인 매도세 전환에 '하락'","2017-07-27","우리은행이 외국인의 매도세 전환에 하락하고 있다.27일 오전 9시21분 현재 우리은행은 전날보다 550원(2.81%) 내린 1만9000원을 기록 중이다. HSBC(6만6380주) CS(5만1000주) 메릴린치(3만7200주) 등 외국계 증권사가 매도 상위 창구에 이름을 올리고 있다.외국인은 현재 11만8000주를 팔고 있다. 전날까지는 5거래일 연속 우리은행을 사들였다. 이 기간 주가는 상승을 지속했다.김은지 한경닷컴 기자 eunin11","https://finance.naver.com/news/market_special_read.nhn?article_id=0003801959&office_id=015&type=title&keyword=",2162,1,2,"은행 및 저축기관",2017,235048,3106827,6.7,1412.14,1866,1899,350,1926614,"infinity","infinity","infinity","infinity",0.0178571428571429,"infinity","infinity"
30,"우리은행",12652,"제도적위기","은행주, 연체금리 규제 리스크 부각에 3%대 급락","2017-09-26","[이데일리 최정희 기자] 은행주가 금융당국의 연체금리 규제 리스크에 3%대 급락하고 있다. 26일 마켓포인트에 따르면 이날 오전 9시 44분 현재 코스피 상장 은행주가 3.56% 하락하고 있다. 우리은행(000030)과 기업은행(024110)이 3%대 하락중이고 광주은행(192530)과 제주은행(006220)도 2%대 하락세다. 은행지주회사인 KB금융(105560)과 신한지주(055550)는 각각 4%대, 3%대 하락중이다. 하나금융지주(086790)는 무려 5%대 하락하고 있다. 메리츠종금증권은 이날 보고서에서 “전일 금융당국이 ‘소비자 중심 금융개혁 우선 추진과제’를 발표했는데 이중 연체금리 산정체계가 포함됐다”며 “현재 4대 시중은행의 평균 가계대출 연체율은 0.24%(6월말)로 연체금리 인하에 따른 수익성 훼손은 극히 제한적일 것으로 보이지만 규제 리스크 부각에 은행주 투자심리가 위축될 것”이라고 밝혔다. 실제로 이날 외국인투자자들은 하나금융지주와 신한지주를 각각 26억원, 19억원 가량 순매도하고 있다. 우리은행도 17억원 가량 팔아치우고 있다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0003932261&office_id=018&type=title&keyword=",2164,1,1,"은행 및 저축기관",2017,235048,3106827,6.7,1412.14,1866,1899,100,2004370,"infinity","infinity","infinity","infinity",0.00568181818181818,"infinity","infinity"
30,"우리은행",4556,"미국이슈","美 국채금리 하락에 은행주 약세","2018-04-03","[이데일리 최정희 기자] 무역분쟁 우려 등에 안전자산 선호심리가 강해지면서 미국 10년물 국채금리가 2.7% 초반대로 하락하자 은행주가 약세를 보이고 있다. 3일 마켓포인트에 따르면 KB금융(105560)은 이날 오전 9시 24분 현재 전 거래일보다 2.52% 하락 거래되고 있다. 신한지주(055550)는 1.87%, 하나금융지주(086790)는 2.45% 하락중이다. 우리은행(000030)은 2%대, 기업은행(024110), 광주은행(192530), 제주은행(006220)도 1%대씩 하락하고 있다. 간밤 미국 10년물 국채금리는 2.738%까지 하락했다. 3월 28일 2.7%대 내려간 이후 하락폭이 커지고 있다. 구혜영 NH투자증권 연구원은 최근 보고서에서 “미국채 금리는 트럼프발 통상정책 불확실성에 안전자산 선호심리가 자극되고 있는데다 단기 금융시장의 리브-OIS스프레드 확대로 조달 시장의 유동성 경색 가능성이 제기된 영향”이라고 밝혔다. 다만 스프레드 확대는 리보금리 폐지에서 비롯된 시장의 구조적인 문제이므로 유동성 경색으로 확대될 가능성이 낮고, 글로벌 통화정책에 대한 불확실성도 점진적으로 해소될 전망이라 미국채 금리의 하방경직성은 강화될 것으로 예상됐다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0004070152&office_id=018&type=title&keyword=",2165,1,1,"은행 및 저축기관",2018,236730,3162955,9.11,1438.04,2237,1899,100,1880966,"2018-04-04","2018-04-10","5","1",0.00716845878136201,"1-2","1-8"
40,"KR모터스",15848,"사채발행","KR모터스, 300억 규모 BW 발행 소식에↓","2017-06-26","[이데일리 이명철 기자]?#KR모터스가 300억원 자금 조달을 위해 신주인수권부사채(BW) 발행을 결정했다는 소식에 하락세다.26일 오전 9시25분 현재 KR모터스 주가는 전거래일대비 3.66% 내린 920원을 기록 중이다. 신주인수권 행사에 따라 발행할 주식은 약 3448만주로 현재 발행 주식의 20%에 가깝다. 행사가액 870원의 이들 주식이 상장할 경우 주가 희석이 불가피하다는 우려가 반영된 것으로 풀이된다.이명철(twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003859314&office_id=018&type=title&keyword=",115,1,1,"그외 기타 운송장비 제조업",2017,848,1489,-9.6,137.27,-89,1917,3.009231,1383529,"2017-06-28","2017-07-06","8","2",0.00214592291205203,"1-2","1-8"
80,"하이트진로",12249,"생산중단","하이트진로, 노조 파업 따른 생산중단 소식…9%↓","2017-10-16","[아시아경제 임철영 기자]하이트진로가 노조 파업에 따른 생산중단 소식에 장 초반 급락세다. 16일 오전 9시24분 현재 하이트진로는 전 거래일 대비 9.35% 내린 2만4250원에 거래되고 있다. 하이트진로는 전 거래일 1조5614억원 규모 맥주 ·소주 생산을 중단했다고 공시했다. 지난해 매출액의 82%에 해당하는 규모다. 차재헌 동부증권 연구원은 ""영업상 중요한 시점의 파업은 단기 주가에 악영향을 줄 수있지만 파업이 조기 종료된다면 저가 맥주시장의 성장, 소주 점유율 상승, 원가 안정, 고정비 감소, 경쟁 완화 등을 통한 펀더멘탈 개선요인이 많다""며 ""사측과 노조 모두 장기간 파업은 부담으로 작용, 파업전개 상황을 지켜보면서 급락시 매수를 추천한다""고 설명했다. 임철영 기자 cylim","https://finance.naver.com/news/market_special_read.nhn?article_id=0004094564&office_id=277&type=title&keyword=",2857,1,4,"알코올음료 제조업",2017,18902,34011,6.56,163.26,538,1954,-50,879409,"2017-10-18","2017-10-27","9","2",-0.0019723865877712,"1-2","8-11"
100,"유한양행",14756,"실적부진","유한양행, 예상 못미치는 실적에 급락","2017-07-28","[아시아경제 권성회 기자] 유한양행이 시장 예상치에 미달하는 실적을 내놓으면서 장 후반 급락하고 있다.유한양행은 28일 오후 2시52분 현재 전일 대비 7.87%(2만500원) 내린 24만원에 거래되고 있다.유한양행은 이날 오후 올해 2분기 별도기준 매출액이 전년 동기 대비 6.7% 늘어난 3525억5300만원, 영업이익이 10.5% 증가한 194억2500만원으로 잠정집계됐다고 공시를 통해 밝혔다.그러나 영업이익은 시장 기대치 300억원가량에 비해 못 미치는 수준이다.권성회 기자 street","https://finance.naver.com/news/market_special_read.nhn?article_id=0004044220&office_id=277&type=title&keyword=",2232,1,1,"의약품 제조업",2017,13208,20459,7.4,36.71,12956,1936,16000,132263,"2017-08-04","infinity","infinity","5",0.0615384615384615,"3-8","infinity"
100,"유한양행",12470,"실적부진","유한양행, 3Q 실적 부진 전망에 하락세","2017-10-10","[이데일리 윤필호 기자] 유한양행(000100)이 올해 3분기 실적 부진 전망에 하락세를 보이고 있다.10일 오전9시15분 유한양행 주가는 전 거래일 대비 3.15%(6500원) 하락한 20만원에 거래되고 있다.허혜민 하이투자증권 연구원은 “3분기 연결매출액 3885억원, 영업이익 255억원으로 컨센서스 매출액 4035억원, 영업이익336억원 대비 하회가 예상된다”면서 “유한킴벌리의 해외 성장 부진 및 생리대 논란으로 약해진 소비 심리를 감안해 지분법 관련 손익을 기존 -23%에서 -30%로 하향 추정해 올해 397억원으로 전망하며 3분기는 98억원에 그칠 것”이라고 덧붙였다.윤필호 (nothing","https://finance.naver.com/news/market_special_read.nhn?article_id=0003939630&office_id=018&type=title&keyword=",2233,1,1,"의약품 제조업",2017,13208,20459,7.4,36.71,12956,1936,1500,50155,"2017-10-13","2017-10-18","6","3",0.0072992700729927,"3-8","1-8"
100,"유한양행",7092,"실적부진","유한양행, 지난해 수익성 부진...'하락'","2018-02-21","[머니투데이 오정은 기자] 유한양행이 지난해 수익성 악화로 인한 순이익 및 영업이익 부진으로 하락 중이다. 21일 오전 9시12분 현재 코스피 시장에서 유한양행은 전일대비 2.30% 내린 21만2500원에 거래 중이다. 구자용 DB금융투자 연구원은 ""지난해 영업이익은 전년비 9.3% 감소한 887억원, 순이익은 32% 줄어든 1096억원을 기록했다""며 ""연구개발비 증가, 자회사 유한킴벌리, 유한크로락스 순이익 악화로 인한 지분법 이익 감소, 환율 하락 등으로 전반적인 수익성이 하락했다""고 밝혔다. 이어 ""지분법 이익 회복에는 시간이 필요하다""며 ""실적보다는 비소세포폐암 치료제 등 R&D;모멘텀을 기대할 때""라며 목표주가를 26만원으로 하향 조정했다. ","https://finance.naver.com/news/market_special_read.nhn?article_id=0004012410&office_id=008&type=title&keyword=",2234,1,2,"의약품 제조업",2018,14622,20947,6.07,30.4,8761,1936,-1000,42923,"infinity","infinity","infinity","infinity",-0.00466200466200466,"infinity","infinity"
120,"CJ대한통운",9777,"합병","CJ대한통운, 합병 우려감에 '약세'","2017-12-20","[머니투데이 조한송 기자] CJ대한통운이 CJ건설과의 합병으로 인한 우려감에 장 초반 약세를 나타내고 있다.20일 코스피시장에서 오전 9시 5분 현재 CJ대한통운은 전일 대비 4000원(2.67%) 낮은 14만6000원에 거래되고 있다.미래에셋대우 류제현 연구원은 “이번 합병으로 양사 단순 합산 시 부채 비율은 10% 포인트 증가하고 영업이익률도 크게 변하지 않는다”며 “다만 사업 시너지 효과가 불투명한 상황에서 재무건전성이 떨어지는 계열사와의 합병은 부실 계열사 지원이라는 시장의 우려를 키울 수 있다”고 진단했다.","https://finance.naver.com/news/market_special_read.nhn?article_id=0003981420&office_id=008&type=title&keyword=",38,1,2,"도로 화물 운송업",2017,60819,55212,3.76,101.56,2446,1930,7000,91757,"2017-12-22","infinity","infinity","2",0.0466666666666667,"1-2","infinity"
120,"CJ대한통운",8818,"실적부진","CJ대한통운, 수익성 우려에 신저가","2018-01-23","CJ대한통운이 영업이익률 하락 우려에 신저가를 새로 썼다.23일 오전 9시 20분 현재 CJ대한통운은 전일 대비 500원(0.37%) 내린 13만4500원에 거래되고 있다. 이날 장 초반 CJ대한통운은 13만2500원까지 하락해 52주 신저가를 경신했다. 최고운 한국투자증권 연구원은 ""사상 최대 분기 영업이익이 예상되지만 영업이익률이 기대에 부응하지 못하면서 주가는 4분기 이후 17% 하락했다""라며 ""여전히 밸류에이션이 부담스러운 상황에서 수익성은 계속 낮아짐에 따라 과거와 같이 택배와 글로벌 사업의 성장성이 주가에 온전히 반영되지 못하고 있다""고 말했다.[디지털뉴스국 고득관 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004087793&office_id=009&type=title&keyword=",40,1,1,"도로 화물 운송업",2018,71104,63089,3.31,126.72,1380,1930,1000,72851,"increase","increase","increase","increase",0.00740740740740741,"increase","increase"
