"종목코드","cb_all","label_all","category","title1","date","news","urls","label_pred","year","매출액","자산총계","영업이익률","부채비율","EPS","buliding","buildingyear"
30,"우리은행",14832,"대규모매도","우리은행, 외국인 매도세 전환에 '하락'",2017-07-27,"우리은행이 외국인의 매도세 전환에 하락하고 있다.27일 오전 9시21분 현재 우리은행은 전날보다 550원(2.81%) 내린 1만9000원을 기록 중이다. HSBC(6만6380주) CS(5만1000주) 메릴린치(3만7200주) 등 외국계 증권사가 매도 상위 창구에 이름을 올리고 있다.외국인은 현재 11만8000주를 팔고 있다. 전날까지는 5거래일 연속 우리은행을 사들였다. 이 기간 주가는 상승을 지속했다.김은지 한경닷컴 기자 eunin11","https://finance.naver.com/news/market_special_read.nhn?article_id=0003801959&office_id=015&type=title&keyword=","대규모매도",2017,235048,3106827,6.7,1412.14,1866,"1899.01.30",1899
30,"우리은행",12652,"제도적이슈","은행주, 연체금리 규제 리스크 부각에 3%대 급락",2017-09-26,"[이데일리 최정희 기자] 은행주가 금융당국의 연체금리 규제 리스크에 3%대 급락하고 있다. 26일 마켓포인트에 따르면 이날 오전 9시 44분 현재 코스피 상장 은행주가 3.56% 하락하고 있다. 우리은행(000030)과 기업은행(024110)이 3%대 하락중이고 광주은행(192530)과 제주은행(006220)도 2%대 하락세다. 은행지주회사인 KB금융(105560)과 신한지주(055550)는 각각 4%대, 3%대 하락중이다. 하나금융지주(086790)는 무려 5%대 하락하고 있다. 메리츠종금증권은 이날 보고서에서 “전일 금융당국이 ‘소비자 중심 금융개혁 우선 추진과제’를 발표했는데 이중 연체금리 산정체계가 포함됐다”며 “현재 4대 시중은행의 평균 가계대출 연체율은 0.24%(6월말)로 연체금리 인하에 따른 수익성 훼손은 극히 제한적일 것으로 보이지만 규제 리스크 부각에 은행주 투자심리가 위축될 것”이라고 밝혔다. 실제로 이날 외국인투자자들은 하나금융지주와 신한지주를 각각 26억원, 19억원 가량 순매도하고 있다. 우리은행도 17억원 가량 팔아치우고 있다.최정희 (jhid0201","https://finance.naver.com/news/market_special_read.nhn?article_id=0003932261&office_id=018&type=title&keyword=","제도적이슈",2017,235048,3106827,6.7,1412.14,1866,"1899.01.30",1899
40,"KR모터스",15848,"기타","KR모터스, 300억 규모 BW 발행 소식에↓",2017-06-26,"[이데일리 이명철 기자]?#KR모터스가 300억원 자금 조달을 위해 신주인수권부사채(BW) 발행을 결정했다는 소식에 하락세다.26일 오전 9시25분 현재 KR모터스 주가는 전거래일대비 3.66% 내린 920원을 기록 중이다. 신주인수권 행사에 따라 발행할 주식은 약 3448만주로 현재 발행 주식의 20%에 가깝다. 행사가액 870원의 이들 주식이 상장할 경우 주가 희석이 불가피하다는 우려가 반영된 것으로 풀이된다.이명철(twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003859314&office_id=018&type=title&keyword=","유상증자",2017,848,1489,-9.6,137.27,-89,"1917.09.17",1917
100,"유한양행",12470,"실적부진","유한양행, 3Q 실적 부진 전망에 하락세",2017-10-10,"[이데일리 윤필호 기자] 유한양행(000100)이 올해 3분기 실적 부진 전망에 하락세를 보이고 있다.10일 오전9시15분 유한양행 주가는 전 거래일 대비 3.15%(6500원) 하락한 20만원에 거래되고 있다.허혜민 하이투자증권 연구원은 “3분기 연결매출액 3885억원, 영업이익 255억원으로 컨센서스 매출액 4035억원, 영업이익336억원 대비 하회가 예상된다”면서 “유한킴벌리의 해외 성장 부진 및 생리대 논란으로 약해진 소비 심리를 감안해 지분법 관련 손익을 기존 -23%에서 -30%로 하향 추정해 올해 397억원으로 전망하며 3분기는 98억원에 그칠 것”이라고 덧붙였다.윤필호 (nothing","https://finance.naver.com/news/market_special_read.nhn?article_id=0003939630&office_id=018&type=title&keyword=","실적부진",2017,13208,20459,7.4,36.71,12956,"1936.06.20",1936
100,"유한양행",14756,"실적부진","유한양행, 예상 못미치는 실적에 급락",2017-07-28,"[아시아경제 권성회 기자] 유한양행이 시장 예상치에 미달하는 실적을 내놓으면서 장 후반 급락하고 있다.유한양행은 28일 오후 2시52분 현재 전일 대비 7.87%(2만500원) 내린 24만원에 거래되고 있다.유한양행은 이날 오후 올해 2분기 별도기준 매출액이 전년 동기 대비 6.7% 늘어난 3525억5300만원, 영업이익이 10.5% 증가한 194억2500만원으로 잠정집계됐다고 공시를 통해 밝혔다.그러나 영업이익은 시장 기대치 300억원가량에 비해 못 미치는 수준이다.권성회 기자 street","https://finance.naver.com/news/market_special_read.nhn?article_id=0004044220&office_id=277&type=title&keyword=","실적부진",2017,13208,20459,7.4,36.71,12956,"1936.06.20",1936
100,"유한양행",7092,"실적부진","유한양행, 지난해 수익성 부진...'하락'",2018-02-21,"[머니투데이 오정은 기자] 유한양행이 지난해 수익성 악화로 인한 순이익 및 영업이익 부진으로 하락 중이다. 21일 오전 9시12분 현재 코스피 시장에서 유한양행은 전일대비 2.30% 내린 21만2500원에 거래 중이다. 구자용 DB금융투자 연구원은 ""지난해 영업이익은 전년비 9.3% 감소한 887억원, 순이익은 32% 줄어든 1096억원을 기록했다""며 ""연구개발비 증가, 자회사 유한킴벌리, 유한크로락스 순이익 악화로 인한 지분법 이익 감소, 환율 하락 등으로 전반적인 수익성이 하락했다""고 밝혔다. 이어 ""지분법 이익 회복에는 시간이 필요하다""며 ""실적보다는 비소세포폐암 치료제 등 R&D;모멘텀을 기대할 때""라며 목표주가를 26만원으로 하향 조정했다. ","https://finance.naver.com/news/market_special_read.nhn?article_id=0004012410&office_id=008&type=title&keyword=","실적부진",2018,14622,20947,6.07,30.4,8761,"1936.06.20",1936
120,"CJ대한통운",8818,"실적부진","CJ대한통운, 수익성 우려에 신저가",2018-01-23,"CJ대한통운이 영업이익률 하락 우려에 신저가를 새로 썼다.23일 오전 9시 20분 현재 CJ대한통운은 전일 대비 500원(0.37%) 내린 13만4500원에 거래되고 있다. 이날 장 초반 CJ대한통운은 13만2500원까지 하락해 52주 신저가를 경신했다. 최고운 한국투자증권 연구원은 ""사상 최대 분기 영업이익이 예상되지만 영업이익률이 기대에 부응하지 못하면서 주가는 4분기 이후 17% 하락했다""라며 ""여전히 밸류에이션이 부담스러운 상황에서 수익성은 계속 낮아짐에 따라 과거와 같이 택배와 글로벌 사업의 성장성이 주가에 온전히 반영되지 못하고 있다""고 말했다.[디지털뉴스국 고득관 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004087793&office_id=009&type=title&keyword=","실적부진",2018,71104,63089,3.31,126.72,1380,"1930.11.15",1930
120,"CJ대한통운",5583,"대규모매도","CJ대한통운, 아시아나항공 블록딜에 하락세",2018-03-16,"[아시아경제 조호윤 기자]CJ대한통운 주가가 아시아나항공의 블록딜(장 개시 전 시간 외 대량매매) 소식에 하락세다.16일 오전 9시36분 현재 CJ대한통운은 전 거래일보다 1.15% 내린 12만9000원에 거래되고 있다. 거래량은 225.23% 증가했다.주가 하락은 이날 전해진 아시아나항공의 블록딜 소식과 연관이 있는 것으로 풀이된다. 시장에 대규모 물량이 쏟아지면서 주가 하락 현상이 나타난 것이다. 아시아나항공은 이날 보유 주식수 73만8427주를 블록딜 방식으로 처분하기로 결정했다고 공시했다. 처분 금액 규모는 약 934억원으로, 이는 15일 종가 기준 할인율을 적용해 산출한 금액이다. 아시아나항공은 ""재무구조개선을 위한 비핵심자산 매각한다""고 설명했다. 처분 후 주식수와 지분율은 각각 40만주, 1.75%다.시장에서는 추가적인 주가 하락 가능성도 내비쳤다. 박광래 신한금융투자 연구원은 이날 보고서를 통해 ""CJ대한통운의 주가는 기대치를 하회할 것으로 보이는 실적에 블록딜까지 더해져 단기적으로는 추가적으로 하락할 가능성이 높다""고 판단했다.중장기적으로는 오버행 리스크 해소가 주가 반등을 이끌 것으로 봤다. 오버행은 주식시장에서 언제든 매물로 나올 수 있는 대량의 대기물량을 일컫는다. 박 연구원은 ""주가 상승을 제한했던 오버행 이슈가 해소되었다는 점에서 중장기적 측면에서는 주가에 긍정적'이라며 ""주가 반등의 시기는 곤지암 메가 허브 터미널 효과가 반영되는 올 하반기로 예상한다""고 내다봤다.조호윤 기자 hodoo","https://finance.naver.com/news/market_special_read.nhn?article_id=0004198304&office_id=277&type=title&keyword=","대규모매도",2018,71104,63089,3.31,126.72,1380,"1930.11.15",1930
120,"CJ대한통운",5029,"제도적이슈","""CJ대한통운, 최저임금 인상 타격 크다""…목표가↓",2018-03-27,"
자료 제공 = 유진투자증권유진투자증권은 27일 CJ대한통운에 대해 최저임금 인상 타격이 예상보다 클 전망이라며 목표주가를 기존 18만원에서 16만원으로 하향 조정했다. 투자의견은 '매수'를 유지했다.방민진 유진투자증권 연구원은 ""CJ대한통운은ㅇ 최저 임금 인상에 따른 비용 증가가 예상보다 클 것으로 보여 단기적으로는 곤지암 허브 터미널 가동에 따른 비용 절감 효과를 상쇄할 것""이라면서 ""택배 단가 역시 인상 요건이 충족되기까지 시일이 걸릴 것으로 판단해 올해 동사의 택배 부문 이익 개선은 제한적일 것으로 전망한다""고 말했다.1분기 연결 기준 매출액은 1조8900억원, 영업이익은 483억원으로 추정했다. 전년 동기 대비 각각 19.0% 증가, 5.6% 감소한 수준이다.방 연구원은 ""오는 6월 곤지암 허브 터미널 가동 시 기존 수동 터미널 물량을 자동화 시설인 곤지암으로 집적해 도급 비용 절감, 네트워크 효율화에 따른 간선비용 절감, 처리 능력 한계로 발생하던 마진율 변동성 축소 등을 기대할 수 있었다""면서도 ""이 가운데 최저임금 인상으로 도급 비용 절감 효과는 사실상 기대하기 어려워졌다""고 진단했다.[디지털뉴스국 김경택 기자]","https://finance.naver.com/news/market_special_read.nhn?article_id=0004122340&office_id=009&type=title&keyword=","실적부진",2018,71104,63089,3.31,126.72,1380,"1930.11.15",1930
140,"하이트진로홀딩스",16987,"국내증시위기","벽산·서흥 등 코스피200 제외종목 `약세`",2017-05-18,"[이데일리 이후섭 기자] 벽산(007210) 서흥(008490) 일동홀딩스(000230) 등 코스피200지수에서 제외된 종목들이 하락세다.18일 오전 10시15분 현재 벽산은 전날대비 160원(4.34%) 내린 3525원에 거래되고 있다. 서흥과 일동홀딩스는 각각 3.93%, 3.21% 하락세를 기록하고 있다. 크라운해태홀딩스(005740)(-2.87%) 하이트진로홀딩스(000140)(-2.53%) 삼광글라스(005090)(-1.58%) 국도화학(007690)(-1.47%) S&T;중공업(003570)(-1.33%) 등도 약세를 면치 못하고 있다.한국거래소는 지난 16일 주가지수운영위원회를 열고 코스피200과 코스닥150 구성종목 정기변경을 확정했다고 전날 밝혔다. 이번 코스피200지수 정기변경으로 기존에 편입됐던 하이트진로홀딩스, 일동홀딩스, 일신방직, S&T;중공업, 조광피혁, 삼광글라스, 크라운해태홀딩스, 벽산, 국도화학, 서흥 등 10개 종목이 빠졌다. 이창환 IBK투자증권 연구원은 “발표된 종목의 정기변경일은 오는 6월9일이나 실질적인 편출이 이뤄지는 시점은 6월 선물·옵션 동시 만기일인 둘째주 목요일 장마감 이후”라며 “이날 코스피200을 추종하는 패시브 펀드의 자금 유출입이 발생할 수 있다”고 판단했다.이후섭 (dlgntjq","https://finance.naver.com/news/market_special_read.nhn?article_id=0003827432&office_id=018&type=title&keyword=","국내증시위기",2017,18954,39671,7.01,229.63,1179,"1933.08.09",1933
