code_compnay,buliding
39670,1999.12.30
6840,1970.10.13
27410,1994.12.01
282330,2017.11.01
138930,2011.03.15
1040,1953.08.01
590,1949.01.12
12030,1977.03.15
16610,1982.12.20
5830,1968.11.01
139130,2011.05.17
17940,1984.09.06
78930,2004.07.01
3560,1962.08.24
175330,2013.07.01
96760,2007.07.03
105560,2008.09.29
9070,1973.07.20
1940,1957.02.19
92230,2006.09.01
3550,1947.01.05
32640,1996.07.11
6260,1962.05.15
680,1949.12.21
35420,1999.06.02
34310,1986.09.11
36530,1982.09.27
101060,2008.03.04
25530,1975.03.31
34730,1991.04.13
18670,1985.12.20
1740,1956.03.24
210980,2004.05.01
96770,2007.07.03
1510,1955.07.30
17670,1984.04.20
79940,1999.09.21
35250,1998.06.29
11420,1975.05.06
94480,1994.10.05
63080,2000.01.10
12320,1977.06.15
49720,1991.06.27
1290,1954.08.30
215000,2015.03.03
121440,2000.05.08
37710,1995.04.10
192530,2014.05.08
30610,1949.11.22
1140,1953.12.28
19010,1979.04.27
114090,2005.09.06
204620,2014.07.31
19660,1986.12.20
89600,2000.03.13
130580,2002.11.01
36800,1988.05.12
30190,1985.02.28
4270,1965.06.10
168330,2001.05.31
72770,1998.03.03
95660,2007.04.26
42420,1997.06.06
153460,2003.01.29
5720,1968.09.10
139670,2002.09.09
160550,2008.07.01
41140,1993.11.08
217270,2015.03.19
225570,2015.07.14
251270,2011.11.17
320,1945.11.01
144510,2011.06.27
5250,1967.10.05
65560,1987.05.07
72710,2003.07.10
40160,1994.04.18
119860,2002.06.21
64260,1997.07.04
23590,1986.01.09
19680,1986.12.20
6370,1969.12.26
7720,1972.03.11
84690,2005.08.01
128820,2010.06.30
27830,1987.08.22
16710,1983.01.31
20180,1987.08.28
3540,1962.07.27
3090,1961.01.10
48910,1977.12.06
3490,1962.06.19
5880,1968.12.12
192080,2012.05.01
35290,1994.11.14
52300,1995.08.17
89230,2002.07.08
12510,1977.08.20
77360,1999.05.06
194480,2007.05.30
263800,2011.01.03
139050,2006.02.20
206560,2012.01.04
2150,1962.05.05
4140,1965.01.14
102260,2008.05.14
640,1949.08.09
84670,2005.07.04
30790,1991.03.30
82640,1989.07.01
150,1933.12.08
241560,2014.04.25
30350,1990.03.22
203650,2014.06.25
217620,2015.03.30
4840,1945.09.30
263720,2012.01.04
241520,2012.01.18
127120,2000.03.15
13570,1978.10.05
68930,2000.03.10
33130,1995.10.02
187220,2000.10.18
42510,1998.04.16
84650,2002.03.29
141080,2006.05.02
60300,1996.06.15
38390,1996.08.01
67730,1996.07.04
32350,1971.05.24
400,1946.05.20
23530,1970.07.02
4990,1967.03.24
71840,1987.07.01
60240,1993.07.15
39980,1991.02.01
12700,1977.09.19
277070,2006.07.05
42500,2000.04.01
219420,2003.12.12
38290,1997.06.05
5990,1969.02.14
67280,2000.05.04
72870,2000.07.12
215200,2015.04.03
