code,index1,2013_12,2014_12,2015_12,2016_12,2017_12
39670,매출액,52.0,161.0,155.0,161.0,237.0
39670,영업이익,1.0,-53.0,-48.0,3.0,-77.0
39670,영업이익(발표기준),1.0,-53.0,-48.0,3.0,-77.0
39670,세전계속사업이익,0.0,-106.0,-46.0,-5.0,-196.0
39670,당기순이익,0.0,-106.0,-46.0,-5.0,-196.0
39670,  당기순이익(지배),0.0,-106.0,-46.0,-5.0,-195.0
39670,  당기순이익(비지배),,,,0.0,-1.0
39670,자산총계,173.0,140.0,241.0,285.0,873.0
39670,부채총계,116.0,110.0,126.0,109.0,562.0
39670,자본총계,57.0,30.0,115.0,176.0,311.0
39670,  자본총계(지배),57.0,30.0,115.0,175.0,311.0
39670,자본총계(비지배),,,,1.0,
39670,자본금,50.0,95.0,74.0,88.0,154.0
39670,영업활동현금흐름,3.0,-66.0,-11.0,-23.0,-172.0
39670,투자활동현금흐름,0.0,-1.0,-45.0,-57.0,-569.0
39670,재무활동현금흐름,-12.0,67.0,127.0,57.0,721.0
39670,CAPEX,0.0,0.0,0.0,8.0,9.0
39670,FCF,3.0,-66.0,-12.0,-31.0,-181.0
39670,이자발생부채,59.0,38.0,52.0,48.0,476.0
39670,영업이익률,1.27,-32.93,-30.8,1.93,-32.65
39670,순이익률,-0.24,-65.74,-29.87,-3.15,-82.78
39670,ROE(%),-0.32,-243.7,-64.0,-3.26,-80.23
39670,ROA(%),-0.07,-67.41,-24.29,-1.93,-33.84
39670,부채비율,203.85,372.68,109.51,62.06,180.55
39670,자본유보율,32.46,-58.93,45.56,86.07,90.63
39670,EPS(원),-3.0,-1616.0,-419.0,-29.0,-807.0
39670,PER(배),-1028.19,-1.42,-6.9,-88.2,-1.51
39670,BPS(원),1138.0,312.0,778.0,990.0,1012.0
39670,PBR(배),2.56,7.34,3.72,2.55,1.21
39670,현금DPS(원),0.0,0.0,0.0,0.0,
39670,현금배당수익률,0.0,0.0,0.0,0.0,
39670,현금배당성향(%),0.0,0.0,0.0,0.0,
,발행주식수(보통주),5012000.0,9488737.0,14775989.0,17625088.0,30770997.0
6840,매출액,22410.0,28739.0,28071.0,29218.0,33925.0
6840,영업이익,1089.0,1475.0,1063.0,2137.0,2656.0
