label_all,category,cb_all,title1,date,news,urls
1000,유상증자,한프,"한프, 204억원 일반 유증 결정에 하락세",2018-06-11,"한프가 204억원 규모의 일반공모방식 유상증자를 결정하면서 하락하고 있다.한프는 11일 오전 9시 17분 현재 전 거래일 대비 8.91%(230원) 떨어진 2350원에 거래되고 있다.회사 측은 지난 8일 운영자금을 마련하기 위해 203억5000만원 규모의 신주를 발행한다고 공시했다. 증자는 일반공모하며, 신주 발행가액은 1주당 2035원이다. 신주 상장 예정일은 다음달 30일이다.[디지털뉴스국 이가희 기자]",https://finance.naver.com/news/market_special_read.nhn?article_id=0004165843&office_id=009&type=title&keyword=
10002,사업중단,파미셀,"파미셀, 울산공장 생산 중단 소식에 하락",2017-12-14,"[머니투데이 오정은 기자] 파미셀이 케미칼사업부문 울산공장의 생산 중단 소식에 약세를 보이고 있다. 14일 오전 9시6분 현재 코스피 시장에서 파미셀은 전일대비 4.48% 내린 5970원에 거래 중이다. 전일 파미셀은 원료의약품 공장의 신축과 확장 이전 등을 위해 케미칼사업부문 울산공장의 생산을 중단한다고 공시했다. 생산중단 분야의 매출액은 150억원으로 지난해 매출액의 54.17%에 해당된다. 생산 재개일은 2018년 4월 1일이다. 회사 측은 ""협력 생산업체를 확보해 영업상의 영향은 없다""고 밝혔다.",https://finance.naver.com/news/market_special_read.nhn?article_id=0003978722&office_id=008&type=title&keyword=
1002,실적부진,펄어비스,"펄어비스, 일매출 하락 우려에 4% 약세",2018-06-11,"[머니투데이 하세린 기자] 펄어비스가 경쟁사인 블루홀의 '배틀그라운드' 모바일 출시로 사용자 이탈 및 일매출 하락 우려에 약세가 이어지고 있다. 11일 오전 9시22분 현재 코스닥 시장에서 펄어비스는 전날대비 8100원(3.80%) 하락한 20만5000원에 거래되고 있다. 신영증권에 따르면 펄어비스는 1분기 대비 다소 하락한 DAU(일간활성이용자)와 일매출을 기록중이다. '검은사막 모바일' 해외 출시는 대만이 오는 3분기, 북미·유럽·일본이 내년 1분기로 전망된다.  ",https://finance.naver.com/news/market_special_read.nhn?article_id=0004062916&office_id=008&type=title&keyword=
10023,기타,동부제철,"동부제철, 2거래일 연속 하락세..8.11%↓",2017-12-13," 동부제철이 2거래일 연속 하락하면서 8000원대 아래로 내려왔다.  13일 오전 10시53분 현재 코스피에서 동부제철은 전일대비 8.11% 하락한 7930원에 거래중이다. 전일 동부제철은 최근 시황변동과 관련된 한국거래소의 조회공시에 대해 ""재무구조 개선을 위해 당사 채권금융기관협의회와 출자전환, 감자 등을 포함한 다양한 방안을 검토 중""이라고 답변공시했다.   ahnman",https://finance.naver.com/news/market_special_read.nhn?article_id=0003923490&office_id=014&type=title&keyword=
10037,기타,현대자동차,"AJ렌터카, 매각 추진 중단 소식에 급락",2017-12-13,현대차그룹 매각설에 연일 치솟던 AJ렌터카 주가가 매각 추진 중단 소식에 이틀째 급락하고 있다.13일 오전 9시 27분 현재 유가증권시장에서 AJ렌터카(068400)는 전날보다 2950원(21%) 하락한 1만1100원에 거래되고 있다. 최대주주인 AJ네트웍스(095570)도 전거래일 대비 410원(5.31%) 떨어진 7310원에 거래 중이다.AJ렌터카는 이달 1일 “최대주주인 AJ네트웍스가 사업경쟁력 강화를 위해 지분매각 등 다양한 방법을 검토 중”이라고 공시했다. 이후 현대차(005380)에 인수될 수 있다는 소식이 전해지면서 주가가 7거래일 연속 올랐다.그러나 AJ네트웍스는 12일 조회공시를 통해 “매각을 더 이상 추진하지 않기로 결정했다”고 답했다.[전준범 기자 bbeom,https://finance.naver.com/news/market_special_read.nhn?article_id=0000392416&office_id=366&type=title&keyword=
1004,유상증자,한프,"한프, 대규모 증자 소식에 약세",2018-06-11,"(서울=연합뉴스) 유현민 기자 = 한프가 대규모 증자 결정 소식에 11일 장 초반 약세다.     이날 오전 9시 19분 현재 코스닥시장에서 한프는 전 거래일보다 8.53% 떨어진 2천360원에 거래됐다.    한프는 운영자금 204억원을 조달하기 위해 일반공모방식의 유상증자를 하기로 했다고 지난 8일 장 마감 후 공시했다.    발행 신주는 보통주 1천만주로 신주 발행가액은 2천35원이다.    일반공모 청약 예정일은 7월 12∼13일, 신주 상장 예정일은 7월 30일이다.    hyunmin623",https://finance.naver.com/news/market_special_read.nhn?article_id=0010140632&office_id=001&type=title&keyword=
10046,사업중단,HSD엔진,"두산엔진, '메가컨테이너선' 수주 불발 우려..약세",2017-12-13,"[이데일리 함정선 기자] 두산엔진(082740)이 ‘메가컨테이너선’ 엔진을 수주하지 못할 수 있다는 우려에 약세를 나타내고 있다. 13일 오전 9시19분 현재 두산엔진은 전일대비 7.84%(370원) 내린 4350원에 거래되고 있다. 업계에서는 삼성중공업과 대우조선해양이 글로벌 해운사인 MSC로부터 수주한 메가컨테이너선 11척에 들어갈 선박 엔진을 발주하는데, 두산엔진의 수주가 어렵다는 전망이 나오고 있다. 매각을 진행 중인 두산엔진이 이번 수주에 실패하면 1600억~2400억원 수준의 매출을 놓치게 되는 셈이라는 분석이다.함정선 (mint",https://finance.naver.com/news/market_special_read.nhn?article_id=0003990852&office_id=018&type=title&keyword=
10053,기타,금호타이어,"금호타이어, 3거래일만에 다시 '하락'",2017-12-13,"금호타이어의 주가가 3거래일만에 다시 하락세다.13일 오전 9시11분 현재 금호타이어는 130원(3.16%) 내린 3990원을 기록하고 있다.지난 이틀간 금호타이어는 국내 기업이 제3자 유상증자 방식으로 인수합병(M&A;)한다는 보도에 강세를 보였다. 이에 대해 금호타이어는 ""확인된 사실이 없다""고 조회공시에 답변했다.안혜원 한경닷컴 기자 anhw",https://finance.naver.com/news/market_special_read.nhn?article_id=0003864556&office_id=015&type=title&keyword=
1006,실적부진,LG이노텍,"LG이노텍, 아이폰 부품 주문 20% 감소 소식에 ‘약세’",2018-06-11,"[이데일리 성선화 기자]LG이노텍(011070)이 약세다. 11일 오전 9시 15분 현재 LG이노텍이 전 거래일 대비 3.65% 하락한 14만 5000원에 거래되고 있다. 애플이 오는 9월 출시 예정인 차기 아이폰의 부품 주문량을 20% 축소할 것이란 보도의 영향으로 보인다. 애플에 아이폰 부품을 납품하는 LG이노텍은 지난 2분기 114억원의 영업손실을 기록했다. 오는 3분기 신규 아이폰 시리즈에서 3D 센싱 모듈이 3개 전모델, Flexible OLED가 2개 모델로 확대 채용할 것으로 예상돼 실적 개선이 기대됐었다. 하지만 7월부터 출하가 기대됐던 3D 센싱 모듈, 듀얼 카메라 등 광학솔루션의 주문량이 감소하면 타격을 받을 수 있다는 분석이다. 한편, 박형우 신한금융투자 연구원은 “이번 보도는 LCD 아이폰 벤더들의 상황을 근거로 한 것”이라며 “이미 LCD 아이폰 지연 출시에 따른 주문량 감소는 시장에 알려진 사실”이라고 평가했다.성선화 (jess",https://finance.naver.com/news/market_special_read.nhn?article_id=0004122790&office_id=018&type=title&keyword=
10064,실적부진,클리오,"클리오, 2018년 실적 전망 공시에 '하락'",2017-12-12,"[머니투데이 오정은 기자] 클리오가 2018년 실적 전망을 공시한 뒤 낙폭이 크게 확대됐다. 12일 오후 3시16분 현재 코스닥 시장에서 클리오는 전일대비 3.94% 내린 3만8700원에 거래 중이다. 이날 2018년 사업연도의 예상 매출액과 영업이익이 각각 2400억원, 190억원이라고 공시했다. 이는 증권가 컨센서스(전망치)인 254억원을 크게 밑도는 수치였다.  회사 측은 ""2017년 실적 분석과 2018년 사업계획 목표 및 향후 경제, 관련 산업의 동향 등을 고려한 추정""이라고 밝혔다. ",https://finance.naver.com/news/market_special_read.nhn?article_id=0003977672&office_id=008&type=title&keyword=
