"label_all","category","cb_all","title1","date","news","urls","label_pred","nr"
18021,"실적부진","현대자동차","현대차, 1Q 실적 부진 전망에 '하락'",2017-04-14,"[이데일리 정수영 기자] 현대차(005380)가 중국 판매 실적 둔화로 1분기 실적이 저조할 것이란 증권사 전망에 하락세다. 14일 오전 9시16분 현재 현대차는 유가증권시장에서 전날보다 0.70% 떨어진 14만1500원에 거래되고 있다. 미래에셋대우는 이날 낸 리포트에서 현대차의 1분기 영업이익이 전년 동기 대비 25.9% 감소한 9945억원에 그칠 것으로 전망했다. 박영호 미래에셋대우 연구원은 “세타엔진 관련 국내외 리콜결정에 따라 최대 2500억원 수준의 충당금 비용이 추가 반영될 전망이고, 중국 출고와 현지판매가 14% 내외 감소해 현지법인 손익 악화로 지분법평가이익이 전반적으로 부진할 것”이라고 예상했다.정수영 (grassdew","https://finance.naver.com/news/market_special_read.nhn?article_id=0003799492&office_id=018&type=title&keyword=","실적부진",1
17852,"기타","현대자동차","현대차 3인방, 한미FTA 개정 소식에 '하락'",2017-04-19,"[이데일리 정수영 기자] 현대차(005380), 기아차(000270), 현대모비스(012330) 등 현대차 3인방이 19일 유가증권시장(코스피시장)에서 약세다.이날 오후 2시22분 현재 현대차는 전날보다 2.84% 떨어진 13만7000원에 거래되고 있다. 현대모비스는 2.05% 빠진 21만4500원, 기아차는 1.59% 내린 3만4150원에 거래중이다. 한국을 방문한 펜스 미국 부통령이 전날 한미 자유무역협정(FTA)을 개정하겠다고 발언하면서 자동차주가 일제히 내림세다. 내수시장에서 미국산 자동차 판매량이 증가하면 국산차업계가 타격을 받을 것이란 우려가 커진 때문이다.  다만 한미FTA가 개정되더라도 국내 자동차 시장에 끼치는 영향은 제한적이란 분석이 나오고 있다. 이재일 유진투자증권 연구원은 “펜스 부통령의 FTA 개정 발언은 기존의 재협상 내용보다 다소 완화된 표현인데다, 불균형 심화 원인으로 한국정부의 규제를 꼽은 만큼 자동차업계와 부품업에 미치는 영향은 크지 않을 것”이라고 봤다. 미국 무역대표부는 지난달 30일 발간한 ‘2017 무역장벽 보고서’에서 총 30개의 한국 비관세 무역장벽이 존재한다고 밝혔다. 보고서에 포함된 자동차 비관세 장벽은 차량 연비 규제, 수리 이력 보조에 관한 규제, 독립 수리점에 대한 부품 및 수리정보 제공에 대한 규제 등 세 가지다.정수영 (grassdew","https://finance.naver.com/news/market_special_read.nhn?article_id=0003803614&office_id=018&type=title&keyword=","비리의혹",1
17180,"기타","현대자동차","현대차, 24만대 강제 리콜 처분 소식에 소폭 하락",2017-05-12,"
현대차(005380)가 강제 리콜 처분을 받았다는 소식에 소폭 하락하고 있다.12일 오전 11시 7분 현재 현대차는 전날보다 1.27%(2000원) 내린 15만5500원에 거래되고 있다. 형제주인 기아차(000270)는 0.81% 소폭 하락 중이다.국토교통부(이하 국토부)는 이날 현대·기아차의 차량제작 결함 5건에 대해 5월 12일자로 리콜 처분을 통보했다고 밝혔다. 시정 대상 차량은 12개 차종 24만대로 추정되고 있다.이번에 최종 리콜 처분된 5개 결함은▲아반떼, i30 차량의 진공파이프 손상▲모하비 차량의 허브너트 풀림▲제네시스·에쿠스 차량의 캐니스터 통기저항 과다▲쏘나타, 쏘나타 하이브리드, 제네시스 등 3개 차종 주차브레이크 미점등▲쏘렌토, 투싼, 스포티지, 싼타페, 카니발 등 5개 차량의 R엔진 연료호스 손상 현상 등이다.현대차는 이날로부터 25일 이내에 국토부에 결함 시정 계획서를 제출하고, 리콜 계획에 대한 신문 공고와 해당 자동차 소유자에 대한 우편 통지도 30일 이내에 해야 한다.앞서 국토부는 지난 4월 23일 전 현대차 직원이 제보한 내용을 바탕으로 5건의 결함에 대해 리콜이 필요하다는 결론을 내리고, 현대차에 시정할 것을 권고한 바 있다. 그러나 현대차는 지난달 25일 이를 수용할 수 없다는 입장을 밝혔고, 이에 국토부는 지난 8일 강제리콜 당위성에 대한 청문절차를 진행했다.한편 현대차는 이날 강제리콜 결정을 수용하고 국토부가 권고한 무상수리 9건에 대해서도 계획을 수립해 추진할 것이라고 밝혔다.익명을 요구한 한 증권사 연구원은 “이번 리콜 처분로 인해 현대차는 직접적인 비용이 발생하고, 앞으로의 품질 문제 해결을 위해 충당금도 마련해야 하기 때문에 이익 측면에서 부정적인 영향을 받을 것”이라며 “다만, 이는 이미 주가에 반영된 악재이기 때문에 큰 반응이 나타나지는 않고 있다”고 분석했다.[이선목 기자 letswin","https://finance.naver.com/news/market_special_read.nhn?article_id=0000369141&office_id=366&type=title&keyword=","비리의혹",1
15429,"실적부진","현대자동차","현대·기아차, 실적부진 우려감에 '동반 하락'",2017-07-10,"[이데일리 오희나 기자] 현대·기아차가 실적 부진 우려감에 동반 하락세를 보이고 있다. 10일 오전 9시30분 현재 현대차(005380)는 전거래일보다 1.98%(3000원) 내린 14만8500원에 거래되고 있다. 실적 부진 우려감에 메릴린치, 도이치증권 등 외국계 창구를 통해 3만6000여주 이상 매도 물량이 출회되고 있다. 같은 시간 기아차(000270)는 전거래일보다 1.07%(400원) 내린 3만6900원을 기록중이다. 이날 임은영 삼성증권 연구원은 “G2시장 실적부진이 지속되는 가운데 한국시장에서 현대차와 제품 차별화 전략 부재로 판매간섭 효과가 우려된다”며 “통상임금 판결은 3분기로 지연돼 지속적인 부담 요인으로 작용할 것”이라고 말했다. 이어 “G2시장 수요둔화는 기술혁신에 의해 가속화될 전망으로 점진적인 전략 변화와 2019년 이후 시작되는 신제품 출시 싸이클로 대응이 어렵다”면서 “단기 수익성을 포기하더라도 체질변화를 추진해야 하는 시기”라고 강조했다.오희나 (hnoh","https://finance.naver.com/news/market_special_read.nhn?article_id=0003869984&office_id=018&type=title&keyword=","기타",1
14864,"실적부진","현대자동차"," 현대차, 2·4분기 실적 부진···중장기 재고문제 완화",2017-07-27,"[서울경제] 현대자동차가 미국의 인센티브 증가와 중국 사드 여파로 부진한 실적을 냈다. 27일 한국투자증권은 현대차(005380)에 대해 “SUV 노후화와 주요 시장 인센티브 증가를 감안해 수익성 가정을 낮춘다”며 목표주가를 19만5,000원으로 하향 조정했다. 현대차는 2·4분기 영업이익 1조3,400억원을 달성했다. 전년동기대비 23.7% 감소한 수치며 컨센서스도 밑돈다. 김진우 한국투자증권 연구원은 “불리한 환율로 자동차 사업부가 부진했고 중고차 가치 하락으로 금융사업부도 부진했다”며 “지분법 이익도 중국 JV 및 관계사 실적 악화로 부진했다”고 설명했다. 김 연구원은 “8월까지 부진한 판매 및 인센티브가 이어질 전망”이라고 내다봤다. 그는 “미국 수요가 감소한 가운데 현대차 인센티브 증가의 주 원인인 구형 소나타 재고 소진이 8월까지 지속되고 사드를 극복하기 위한 중국 신차출시 프로모션이 9월 이후 시작된다”며 단기 모멘텀이 부족하다“고 설명했다. 다만 중장기 관점은 긍정적이다. 김 연구원은 ”3·4분기 모멘텀이 부진하지만 배당 매력이 주가 하방을 받치는 가운데 중장기적으로 SUV 출시가 이어질 것“이라고 말했다. /서지혜기자 wise","https://finance.naver.com/news/market_special_read.nhn?article_id=0003079749&office_id=011&type=title&keyword=","실적부진",1
13685,"기타","현대자동차","현대차 3인방, 중국 공장 올스톱 소식에 '하락'",2017-08-30,"[이데일리 정수영 기자] 현대차그룹 3인방 주가가 30일 일제히 하락세다. 전날 중국 내 현대차 4개 공장 가동을 모두 중단했다는 소식이 전해진 때문이다. 이날 오전 9시18분 현재 현대차(005380)는 전날보다 2.78% 떨어진 14만원, 현대모비스(012330)는 1.22% 빠진 24만2000원, 기아차(000270)는 0.98% 내린 2만5400원에 거래되고 있다. 전날 중국 현지 외신은 현대차 중국 합작법인 베이징현대의 4개 공장 중 1~4 공장이 단계적으로 가동을 중단했다고 전햇다. 1~3공장은 베이징에, 4공장은 창저우에 있다. 5공장인 충칭 공장은 다음달경 가동을 시작할 예정이었으나 가동 여부가 불확실한 상황이다. . 중국 정부의 ‘사드(THAAD·고고도미사일방어체계)’ 보복 여파로 판매 부진이 누적됐고, 현지 부품업체에 대금 지급이 미뤄지면서 부품사가 납품을 중단한 탓이다. 현대차는 사드 반한감정에 상반기 판매량도 거의 판토막 난 상태다. 상반기 중국 시장에서 32만1000대를 판매, 전년 상반기(54만6000대)와 비교해 41.2% 판매가 줄었다. 현대차는 지난해 연간 중국 시장에서 118만1000대를 판매했다. 결국 올해 중국 내 판매 목표를 당초 125만대에서 80만대로 낮췄으나, 공장 가동 중단 기간이 길어질 경우 80만대 역시 변경한 목표치도 달성이 어려운 상태다.정수영 (grassdew","https://finance.naver.com/news/market_special_read.nhn?article_id=0003910438&office_id=018&type=title&keyword=","기타",1
13556,"기타","현대자동차","北핵실험 소식에 삼성電·SK하이닉스↓..시총상위株 '약세'",2017-09-04,"[이데일리 오희나 기자] 북한의 핵실험으로 한반도 지정학적 리스크가 고조되면서 삼성전자, SK하이닉스 등 시가총액 상위주들이 동반 약세를 보이고 있다. 4일 오전 9시8분 현재 삼성전자(005930)는 전거래일보다 1.42%(3만3000원) 내린 229만1000원에 거래되고 있다. 같은 시간 SK하이닉스(000660)는 전장보다 1.75%(1200원) 내린 6만7500원, 현대차(005380)는 전거래일보다 1.40%(2000원) 내린 14만1000원을 기록중이다.  이외에 POSCO(005490) 한국전력(015760) LG화학(051910) 신한지주(055550) NAVER(035420) SK텔레콤(017670) 등 시가총액 상위종목 대부분이 1~3%대 하락세를 보이고 있다. 전날 북한은 전날 6차 핵실험을 감행했다. 기상청은 3일 낮 12시 29분 북한 함경북도 길주군 풍계리 지역에는 규모 5.7로 추정되는 인공지진이 발생했다고 밝혔다. 이는 지난해 5월 북한의 5차 핵실험으로 발생한 인공지진보다 5~6배 큰 수준이다. 김병연 NH투자증권 수석연구원은 “북핵리스크가 레드라인에 가까워졌다는 점에서 과거와는 다를 수도 있다”며 “결국 미국과 중국의 대응이 중요한데 미국과 중국은 9월과 10월 자국내 중요 이벤트가 존재한다는 점에서 극단적인 선택을 할 가능성은 적다”고 전망했다이어 “과거와 유사한 경우라면 코스피는 단기 변동성 확대에 그칠 것”이라고 판단했다.오희나 (hnoh","https://finance.naver.com/news/market_special_read.nhn?article_id=0003914572&office_id=018&type=title&keyword=","기타",1
13309,"기타","현대자동차","현대차그룹株, 中 사업 우려 확산…급락",2017-09-08,"[이데일리 이명철 기자] 한반도 사드(고고도미사일방어체계) 배치에 따른 중국측 반발이 거세지면서 현대차그룹 주요 계열사 주가가 급락세다.8일 오후 1시56분 현재 현대차(005380) 주가는 전일대비 1.81% 내린 13만5500원을 기록 중이다. 현대모비스(012330)와 현대위아(011210)도 각각 4.87, 6.49%의 큰 낙폭을 나타내고 있다. 기아차(000270) 현대글로비스(086280) 현대제철(004020) 등도 약세다. 현대차의 중국 합작 파트너인 베이징기차의 합작법인(베이징현대) 철수 우려까지 나오면서 전반 투자심리가 영향을 받는 것으로 풀이된다.이날 업계에 따르면 중국 인민일보 영문자매지 글로벌타임스는 익명의 소식통을 인용해 “중국 베이징기차가 합자회사 베이징현대를 잃을 것까지 각오하고 있다”고 보도했다. 이에 대해 업계에서는 중국이 사드 배치를 계기로 한국 기업 흔들기를 강화한다는 것으로 보고 있다. 한편 현대차는 중국에서 지속적인 판매 부진을 겪고 있다.이명철 (twomc","https://finance.naver.com/news/market_special_read.nhn?article_id=0003918342&office_id=018&type=title&keyword=","기타",1
10037,"기타","현대자동차","AJ렌터카, 매각 추진 중단 소식에 급락",2017-12-13,"현대차그룹 매각설에 연일 치솟던 AJ렌터카 주가가 매각 추진 중단 소식에 이틀째 급락하고 있다.13일 오전 9시 27분 현재 유가증권시장에서 AJ렌터카(068400)는 전날보다 2950원(21%) 하락한 1만1100원에 거래되고 있다. 최대주주인 AJ네트웍스(095570)도 전거래일 대비 410원(5.31%) 떨어진 7310원에 거래 중이다.AJ렌터카는 이달 1일 “최대주주인 AJ네트웍스가 사업경쟁력 강화를 위해 지분매각 등 다양한 방법을 검토 중”이라고 공시했다. 이후 현대차(005380)에 인수될 수 있다는 소식이 전해지면서 주가가 7거래일 연속 올랐다.그러나 AJ네트웍스는 12일 조회공시를 통해 “매각을 더 이상 추진하지 않기로 결정했다”고 답했다.[전준범 기자 bbeom","https://finance.naver.com/news/market_special_read.nhn?article_id=0000392416&office_id=366&type=title&keyword=","기타",1
9507,"실적부진","현대자동차","'현대차 3인방' 약세…환율 하락·판매목표 감소",2018-01-02,"[이데일리 안혜신 기자] 현대차(005380) 3인방이 동반 약세를 보이고 있다. 원·달러 하락에 판매목표 감소 등이 복합적으로 작용한 것으로 풀이된다.2일 오전 10시11분 현재 현대차는 전 거래일 대비 2.56%(24000원) 내린 15만2000원에 거래되고 있다. 기아차(000270)는 2.09%(700원) 내린 3만2800원을 기록 중이며, 현대모비스(012330)도 1.9% 약세다. 세 종목 모두 매도 창구 상위에 메릴린치와 모건스탠리 등 외국계 증권사가 자리하고 있어 외국인 매도가 집중되고 있는 것으로 보인다.환율 흐름이 우호적이지 않다. 원·달러환율은 전 거래일 대비 4.5원 내린 1066원에 거래를 시작했다. 이는 지난 2014년 4월30일(1052.9원·저가 기준) 이후 최저 수준이다.여기에 현대차그룹이 올해 판매목표를 755만대를 제시한 점도 주가를 끌어내리고 있다. 이는 지난해 연간 판매목표 825만대에서 8.4% 감소한 수치로 2013년 이후 가장 적은 수준이다. 현대차(005380) 판매 목표는 467만5000대(내수 70만1000대, 해외 397만4000대)다. 기아차(000270)는 287만5000대(내수 52만대, 해외 235만5000대)를 판매하겠다는 목표다.안혜신 (ahnhye","https://finance.naver.com/news/market_special_read.nhn?article_id=0004003260&office_id=018&type=title&keyword=","기타",1
